lyrics,pos,neg,compound,sentiment
mr perfect face mr stay mr looked eye told would never go away everything right mr waitin life mr every single day end side got know mr change heart mr leaves alone fall apart takes everything get day wonderful see okay hello mr perfectly fine heart breakin mine mr always right place right time baby hello mr casually cruel mr everything revolves around miss misery since goodbye mr perfectly fine mr never told mr never see cry mr insincere apology look like bad guy goes day forgets ever even heard name well thought might different rest guess hear got arm round brand new girl pickin heart pickin never got past put wonderful see never phased hello mr perfectly fine heart breakin mine mr always right place right time baby hello mr casually cruel mr everything revolves around miss misery since goodbye mr perfectly fine dignified well pressed suit strategized eyes sashay way seat best seat best room oh smug mr always wins far every sense far feeling anything really shame shame miss stay miss gon na alright someday someday maybe miss mr late goodbye mr perfectly fine heart breakin mine mr always right place right time baby goodbye mr casually cruel mr everything revolves around miss misery last time mr perfectly fine perfectly fine mr looked eye told would never go away said never go,0.291,0.151,0.9905,pos
go driving scooter uh know round london oh love hometown much motown love socal know love springsteen faded blue jeans tennessee whiskey something happened heard laughing saw dimples first heard accent say home heart mine lives know love london boy enjoy walking camden market afternoon likes american smile like child eyes meet darling fancy took back highgate met best mates guess rumors true know love london boy boy fancy ooh love high tea stories uni west end find pub watching rugby school friends show gray sky rainy cab ride babes threaten good time say home heart god love english know love london boy enjoy nights brixton shoreditch afternoon likes american smile like child eyes meet darling fancy took back highgate met best mates guess rumors true know love london boy boy fancy please show hackney louis v bond street wan na wan na stick queen like tennessee stella mccartney heath wan na wan na wan na oh know love london boy enjoy walking soho drinking afternoon yeah likes american smile like child eyes meet darling fancy took back highgate met best mates guess rumors true yeah know love london boy oh boy oh fancy fancy ooh please show hackney louis v bond street wan na fancy oh whoa oh stick queen like tennessee stella mccartney heath wan na ooh wan na fancy yeah fancy oh whoa,0.432,0.012,0.9992,pos
backseat drunk something stronger drinks bar rent place cornelia street say casually car fresh page desk filling blanks go street lights pointed arrow head leading us home hope never lose hope never ends never walk cornelia street kinda heartbreak time could never mend never walk cornelia street baby get mystified city screams name baby terrified ever walk away never walk cornelia street never walk cornelia street windows flung right open autumn air jacket round shoulders bless rains cornelia street memorize creaks floor back card sharks playing games thought leading packed bags left cornelia street even knew gone called showed hand turned around hit tunnel sat roof hope never lose hope never ends never walk cornelia street kinda heartbreak time could never mend never walk cornelia street baby get mystified city screams name baby terrified ever walk away never walk cornelia street never walk cornelia street hold hand street walk back apartment years ago inside barefoot kitchen sacred new beginnings became religion listen hope never lose never walk cornelia street oh never baby get mystified city screams name baby terrified ever walk away never walk cornelia street never walk cornelia street wan na lose hope never ends never walk cornelia street wan na lose yeah rent place cornelia street say casually,0.194,0.107,0.9466,pos
know adore crazier 16 lost film scene waving homecoming queens marching band playing lost lights american glory faded feeling hopeless ripped prom dress running rose thorns saw scoreboard ran life ah cameras catch pageant smile counted days counted miles see see long time coming whole world whisper hallway bad bad girl okay whole school rolling fake dice play stupid games win stupid prizes nothing like miss americana heartbreak prince okay sad paint town blue voted likely run away team losing battered bruising see high fives bad guys leave head hung one seems care american stories burning feeling helpless damsels depressed boys boys wise men darling scared ah cameras catch muffled cries counted days counted miles see see storm coming whole world whisper hallway bad bad girl okay whole school rolling fake dice play stupid games win stupid prizes nothing like miss americana heartbreak prince okay sad paint town blue voted likely run away want go really wan na fight nobody gon na win think come home want go really wan na fight nobody gon na win think come home want go really wan na fight nobody gon na win thought know never let go know fight someday gon na win whole world whisper hallway bad bad girl oh thought know know nothing like like miss americana heartbreak prince okay sad paint town blue paint blue voted likely run away want go really wan na fight nobody gon na win think come home never let go know fight someday gon na win thought know whole world whisper hallway bad bad girl bad bad girl,0.212,0.321,-0.9936,neg
wanted know hanging gone would asked kind cold fogs windshield glass felt passed ache put ache could call even could call babe weekend tis damn season write stayin parents house road taken looks real good always leads hometown parkеd car right methodist thе school used holidays linger like bad perfume run far escaped remember watched leave okay okay could call even could call babe weekend tis damn season write stayin parents house road taken looks real good time flies messy mud truck tires missing smile hear could ride around road taken looks real good always leads hometown sleep half day old times sake ask wait ask stay go back l called friends write books ever make wonder soul tell smiles fakin heart know breakin leave warmest bed ever known could call even even though leaving weekend tis damn season could call even could call babe weekend tis damn season write stayin parents house road taken looks real good time flies messy mud truck tires missing smile hear could ride around road taken looks real good always leads hometown always leads,0.183,0.14,0.886,pos
baby got bad blood know used mad love take look done baby got bad blood hey got problems think solve em made really deep cut baby got bad blood hey thinking could trusted ruin shiny rusted hit weak baby could breathe rub deep salt wound like laughing right oh sad think good times baby got bad blood know used mad love take look done baby got bad blood hey got problems think solve em made really deep cut baby got bad blood hey think fine still got scars back knives think past kinds wounds last last think things catch time heal coming way oh sad think good times baby got bad blood know used mad love take look done baby got bad blood hey got problems think solve em made really deep cut baby got bad blood hey band aids fix bullet holes say sorry show live like live ghosts band aids fix bullet holes say sorry show live like live ghosts love like blood runs cold baby got bad blood know used mad love take look done baby got bad blood hey got problems think solve em think solve em made really deep cut baby got bad blood hey baby got bad blood know used mad love take look done look done baby got bad blood hey got problems think solve em made really deep cut baby got bad blood hey,0.174,0.318,-0.9938,neg
love cruel cities lived everyone looked worse light many lines crossed unforgiven tell truth never goodbye wan na look anything else saw wan na think anything else thought sleeping long 20 year dark night see daylight see daylight luck draw draws unlucky became butt joke wounded good trusted wicked clearing air breathed smoke maybe ran wolves refused settle maybe stormed every single room town threw cloaks daggers morning brighter wan na look anything else saw never look away wan na think anything else thought things never sleeping long 20 year dark night wide awake see daylight daylight see daylight daylight see daylight daylight daylight daylight see daylight daylight daylight daylight still see mind intertwined believed love would black white golden golden still see head back forth new york sneaking bed believed love would burning red golden like daylight like daylight like daylight daylight wan na look anything else saw never look away wan na think anything else thought things never sleeping long 20 year dark night wide awake see daylight see daylight see daylight ah see daylight daylight daylight daylight see daylight daylight daylight daylight ah still see see daylight daylight daylight daylight still see back forth new york see daylight daylight daylight daylight believed love would burning red like daylight golden like daylight got ta step daylight let go let go let go wan na defined things love things hate things afraid afraid things haunt middle night think,0.174,0.066,0.9829,pos
romantic elegies eulogize cut cynical clones hunters cell phones take lakes poets went die belong beloved neither windermere peaks look like perfect place cry setting without muse burrowed skin heart stopping waves hurt come far watch namedropping sleaze tell words worth take lakes poets went die belong beloved neither windermere peaks look like perfect place cry setting without muse want auroras sad prose want watch wisteria grow right bare feet moved years want right red rose grew ice frozen ground one around tweet bathe cliffside pools calamitous love insurmountable grief take lakes poets went die belong beloved neither windermere peaks look like perfect place cry setting without muse without,0.233,0.254,-0.0941,neg
perfectly fine live made mind better bein alone met weeks ago try callin baby like tryin clothes salute american queen move like motown beat rule kingdom inside room boys expensive cars range rovers jaguars never took quite one waiting king heart body soul ooh whoa want never let go king heart body soul ooh whoa waiting waiting ooh whoa ooh whoa one waiting waiting body soul ooh whoa late night city asleep love secret hoping dreaming dying keep change priorities taste lips idea luxury salute american queen move like motown beat rule kingdom inside room inside room oh boys expensive cars range rovers jaguars never took quite one waiting king heart body soul ooh whoa want never let go king heart heart body soul ooh whoa hey waiting waiting waiting ooh whoa ooh whoa one waiting waiting waiting waiting body soul ooh whoa end endings broken bones mending nights spending roof school girl crush drinking beer plastic cups say fancy fancy stuff baby enough one waiting king heart body soul ooh whoa one waiting king heart body soul ooh whoa want never let go king heart heart body soul soul ooh whoa waiting waiting ooh whoa ooh whoa one waiting waiting body soul ooh whoa,0.121,0.03,0.9559,pos
saying goodbye death thousand cuts flashbacks waking get drunk enough cause morning comes baby look windows love even though boarded chandelier still flickering cause pretend okay death thousand cuts dress kill time take long way home ask traffic lights alright say know one see everywhere thing share small town said great love one ages story still writing pages cause saying goodbye death thousand cuts flashbacks waking get drunk enough cause morning comes baby look windows love even though boarded chandelier still flickering pretend okay death thousand cuts heart hips body love tryna find part touch gave like bad drug searching signs haunted club songs films united stand country guess lawless land quiet fears touch hand paper cut stings paper thin plans time wine spirit trust tryna find part take gave much enough alright thousand cuts get drunk enough baby look windows love even though boarded chandelier still flickering pretend okay death thousand cuts touch tryna find part touch body love trust death thousand cuts enough enough take long way home ask traffic lights alright say know,0.232,0.257,-0.5267,neg
glitter floor party girls carrying shoes lobby candle wax polaroids hardwood floor night read last page stay lost scared turning away want midnights cleaning bottles new year day squeeze hand three times back taxi tell gon na long road toast town babe strike crawling home read last page stay hard wrong making mistakes want midnights cleaning bottles new year day hold memories hold hold memories hold hold memories hold hold please ever become stranger whose laugh could recognize anywhere please ever become stranger whose laugh could recognize anywhere glitter floor party girls carrying shoes lobby candle wax polaroids hardwood floor forevermore read last page stay hard wrong making mistakes want midnights cleaning bottles new year day hold memories hold hold memories hold hold memories hold hold please ever become stranger memories hold whose laugh could recognize anywhere hold memories hold please ever become stranger hold memories hold whose laugh could recognize anywhere hold,0.205,0.111,0.9393,pos
many days spend thinking bout wrong wrong wrong lived shade throwing til sunshine gone gone gone could get away ya feelings drake yeah name lips tongue tied free rent living mind something happened one magical night forgot existed thought would kill nice peaceful quiet forgot existed love hate indifference forgot got popcorn soon rep started going laughed school yard soon tripped hit ground ground ground would stuck around ya would fought whole town yeah would right front row even nobody came show showed one magical night forgot existed thought would kill nice peaceful quiet forgot existed love hate indifference forgot sent clear message taught hard lessons forget blur forgot existed thought would kill nice peaceful quiet forgot existed hate indifference love hate indifference,0.251,0.27,-0.128,neg
break soul two looking right relate anymore related long haul get soon close fist around something delicate shatter sitting bench coney island wondering baby go fast times bright lights merry go sorry making centerfold lost surprises disappointments close eyes gets colder colder sun goes question pounds head lifetime achievement pushed edge polite leave miss rogue coaxed paradise left forgive soul wise trust old care like mall internet one place mischief gift wrapped suburban dreams sorry winning arcade ring lost surprises disappointments close eyes gets colder colder sun goes waiting old spot tree line gold clock leave hanging every single day standing hallway big cake happy birthday paint bluest skies darkest grey universe away got accident sight flashed face walked podium think forgot say name bench coney island wondering baby go fast times bright lights merry go sorry making centerfold lost surprises disappointments close eyes gets colder colder sun goes sun goes sight flashed face sun goes think forgot say name sorry making making making,0.242,0.158,0.9686,pos
moon high like friends night first met went home tried stalk internet read books beside bed wine cold like shoulder gave street cat mouse month two three wake night watch breathe ayy kiss know long night oh kiss twice gon na alright uh three times waited whole life 1 2 1 2 3 4 like shiny things marry paper rings uh huh right darling one want hate accidents except went friends uh huh right darling one want paper rings picture frames dirty dreams oh one want winter icy outdoor pool jumped first went even makes blue takes back color painted brother wall honey without exes fights flaws would standing tall ayy kiss know long night oh kiss twice gon na alright uh three times waited whole life 1 2 1 2 3 4 ah like shiny things marry paper rings uh huh right darling one want hate accidents except went friends uh huh right darling one want paper rings picture frames dirty dreams oh one want want drive away want complications want dreary mondays wrap arms around baby boy want drive away want complications want dreary mondays wrap arms around baby boy uh huh like shiny things marry paper rings ah ah right one want hate accidents except went friends ah ah darling one want like shiny things marry paper rings uh huh right darling one want hate accidents except went friends uh huh right darling one want paper rings picture frames dreams one want paper rings picture frames dreams oh one want one want one want one want one,0.338,0.104,0.9954,pos
tennis court covered tent like thing asked dance said dancin dangerous game oh thought gon na one things know never gon na love got tricks sleeve takes one know one cowboy like never wanted love fancy car waiting phone like sitting airport bar tricks sleeve takes one know one cowboy like perched dark telling rich folks anything wan na hear like could love could way forward pay bandit like eyes full stars hustling good life never thought meet could love could way forward know pay cowboy like perched dark telling rich folks anything wan na hear like could love could way forward pay bandit like eyes full stars hustling good life never thought meet could love could way forward know pay skeletons closets plotted hard fuck old men swindled really believe one ladies lunching stories passed town locked hang lips like gardens babylon boots beneath bed forever sweetest con tricks sleeve takes one know one cowboy like never gon na love never gon na love never gon na love,0.181,0.216,-0.7106,neg
see dark eyes magician eyes us make everyone disappear cut pieces gold cage hostage feelings back wall trippin trip trippin gone break little get alone simple baby know know feel pieces fall right place getting caught moment lipstick face goes keep lose know bad girl bad things goes met bar eyes illusionist eyes us make gray days clear wear like necklace chill make jealous got heart skippin skip skippin gone break little get alone simple baby know know feel pieces fall right place getting caught moment lipstick face goes keep lose know bad girl bad things goes come dressed black goes scratches back goes number honestly baby counting number honestly baby counting number honestly baby counting counting one two three pieces fall right place pieces fall getting caught moment caught caught lipstick face goes keep oh lose baby know bad girl bad things goes come dressed black goes scratches back goes come dressed black goes scratches back,0.093,0.205,-0.9703,neg
crazy think crazy think could work remember said die stupid jump ocean separating us remember fly talk like staring window like favorite town new york city still babe warned us times like say road gets hard get lost led blind faith blind faith might get away religion lips even false god still worship might get away altar hips even false god still worship love still worship love still worship love know heaven thing go touch honey hell fight patch good make confessions begging forgiveness got wine talk like daring leave try scare west village still babe warned us times like say road gets hard get lost led blind faith blind faith might get away religion lips even false god still worship might get away altar hips even false god still worship love still worship love still worship love ah still worship love even false god even false god still worship,0.418,0.19,0.9944,pos
nice throwing big parties jump pool balcony everyone swimming champagne sea rules show bass beat rattling chandelier feeling gatsby whole year rain parade shaking head locking gates nice things darling break take away nice things honey oh think would hear things said nice things nice friends giving second chance stabbed back shaking hand therein lies issue friends try trick get phone mind twist took axe mended fence friend lost lately mm mm shady nice things darling yeah break take away nice nice things things baby honey think would hear things said toast real friends care said said baby reading call lately mama listen drama forgiveness nice thing haha even say straight face nice things darling darling break take away nice uh uh things oh honey baby oh think would hear things said nice things darling real friends break take baby nice things honey care said said think would hear things said nice,0.457,0.062,0.998,pos
hey dorothea ever stop think younger park honey making lark misery got shiny friends since left town tiny screen place see got nothing well wishes ya ooh place ever ooh like way never late come back side stars eyes shined brighter tupelo ever tired bеing known know know always know dorothea uh uh dorothea ah ah ooh rе queen sellin dreams sellin makeup magazines ooh buy anything hey dorothea ever stop think calmer skipping prom piss mom pageant schemes damn dorothea wan na ya still soul met bleachers well ooh guess never know ooh go show never late come back side stars eyes shined brighter tupelo ever tired known know know always know dorothea uh uh dorothea ah ah ooh ooh ooh woo ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh woo ooh ooh ooh ooh ooh ooh dorothea ah ah ah ah ah,0.127,0.14,-0.0444,neg
blew things proportion blue put jail something pinned hands behind back oh thought reason attack fighting true love boxing gloves chemistry til blows til us break love much face blame need say hey head one burned us meant sorry hurt wan na wan na ooh wan na lose wan na lose ooh need say hey go meet afterglow excruciating see low wan na lift let go ultraviolet morning light tells love worth fight oh lived like island punished silence went like sirens crying break love much face walk away need say hey head one burned us meant sorry hurt wan na wan na ooh wan na lose wan na lose ooh need say hey go meet afterglow tell still mine tell fine even lose mind need say tell fault tell want even break heart need say hey head one burned us meant sorry hurt wan na wan na ooh wan na lose wan na lose ooh need say hey go meet,0.136,0.27,-0.9756,neg
loved secret first sight yeah love without reason oh twenty five years old oh know love frozen deep blue painted golden oh held close oh know could spent forever hands pockets picture face invisible locket said nothing world could stop bad feeling darling turned bed sacred oasis people started talking putting us paces knew one world could take bad feeling dancing dancing hands tied hands tied yeah dancing like first time first time yeah dancing dancing hands tied hands tied yeah dancing bad feeling dancing loved spite deep fears world would divide us baby dance oh avalanche say say got mess mess wanted oh gravity oh keeping could spent forever hands pockets picture face invisible locket said nothing world could stop bad feeling dancing dancing hands tied hands tied yeah dancing like first time first time yeah dancing dancing hands tied hands tied yeah dancing knew hands tied bad feeling dancing kiss lights went swaying room burned hold water rushes could dance kiss lights went swaying room burned hold water rushes could dance dancing hands tied hands tied oh yeah dancing like first time first time first time first time yeah dancing oh dancing hands tied hands tied dancing hands tied yeah dancing ooh bad feeling bad feeling dancing ooh ooh ooh ooh hands tied hands tied dancing,0.245,0.126,0.9708,pos
think knows footprints sidewalk lead stop go every night think knows hands around cold glass make wan na know body like mine got boyish look like man architect drawing plans like 17 nobody understands one understands got heartbeat skipping 16th avenue got ah mean wan na see attitude like want bless soul got ta tell think knows think knows think knows get alone make home want stay think knows would better lock stick around good ones never wait ha got boyish look like man architect drawing plans obsessed boy understand boy understand got heartbeat heartbeat skipping 16th avenue got ah mean mean wan na see attitude like want bless soul got ta tell think knows think knows want bless want bless want bless want bless soul lyrical smile indigo eyes hand thigh could follow sparks drive lyrical smile indigo eyes hand thigh could follow sparks drive gon na go whisper dark gon na go think knows got heartbeat heartbeat skipping 16th avenue baby got ah mean mean wan na see attitude like yeah want bless soul got ta tell think knows think knows want bless want bless want bless oh baby want bless soul got heartbeat want bless skipping 16th avenue baby want bless want bless soul got ta tell think,0.357,0.03,0.9968,pos
fatefully tried pick battles til battle picked misery like war words shouted sleep passed right alley surrounded sides knife cuts ways shoe fits walk til high heels break fell pedestal right rabbit hole long story short bad time pushed precipice clung nearest lips long story short wrong guy ah yeah yeah ah yeah yeah actually always felt must look better rear view missing golden gates held keys dropped sword threw bushes knocked door live peace someone comes us time ready fell pedestal right rabbit hole long story short bad time pushed precipice clung nearest lips long story short wrong guy ah yeah yeah keepin score keep warm keep warm tug war know know keepin score keep warm keep warm waves meet shore ever evermore past wan na tell get lost petty things nemeses defeat get chance swing passing rare glimmer comet sky feels like home shoe fits walk everywhere go fell pedestal right rabbit hole long story short bad time pushed precipice climbed right back cliff long story short survived ah ah yeah yeah yeah yeah long story short bad time long story short,0.2,0.198,-0.765,neg
buttons coat tangled hair doctor office lighting tell scared first time holy orange bottles night pray desperate people find faith pray jesus say ooh ah soon get better ooh ah soon get better ooh ah get better soon know delusion see mirror like nicer nurses make best bad deal pretend real paint kitchen neon brighten sky know never get day try say ooh ah soon get better ooh ah soon get better ooh ah get better soon hate make supposed talk supposed go back normal ever years hoping keep saying ooh ah get better ooh ah soon get better ooh ah get better soon ooh ah soon get better ooh ah soon get better ooh ah get better soon,0.348,0.083,0.991,pos
phone girlfriend upset going something said get humor like room typical tuesday night listening kind music like never know story like wears short skirts wear shirts cheer captain bleachers dreaming day wake find looking whole time could see one understands along see belong belong walking streets worn jeans help thinking ought laughing park bench thinking hey easy got smile could light whole town seen since brought say fine know better hey whatcha girl like wears high heels wear sneakers cheer captain bleachers dreaming day wake find looking whole time could see one understands along see belong standing waiting back door time could know baby belong belong oh remember driving house middle night one makes laugh know bout cry know favorite songs tell bout dreams think know belong think know see one understands along see belong standing waiting back door time could know baby belong belong belong ever thought maybe belong belong,0.254,0.042,0.9887,pos
never kind forget clever never clever forget kind know better think talking know better think still around died stay dead died stay dead alive alive head died stay dead died stay dead alive alive never politе forget power nevеr wield power forget polite know better think listening know better think still around died stay dead died stay dead alive alive head died stay dead died stay dead alive alive autumn chill wakes loved amber skies much long limbs frozen swims always go past feet could touch complained whole way car ride back stairs asked questions asked asked write kept every grocery store receipt every scrap would taken watched signed name marjorie closets backlogged dreams left died stay dead died stay dead alive alive head died stay dead died stay dead alive alive know better think singing know better think still around know better still feel around know better still,0.251,0.401,-0.9947,neg
drought worst oh oh oh oh flowers grown together died thirst months months back forth oh oh oh oh still like wine stained dress wear anymore hung head lost war sky turned black like perfect storm rain came pouring drowning could finally breathe morning gone trace think finally clean oh oh oh oh nothing left oh oh oh oh butterflies turned dust covered whole room punched hole roof oh oh oh oh let flood carry away pictures water filled lungs screamed loud one heard thing rain came pouring drowning could finally breathe morning gone trace think finally clean oh oh oh oh think finally clean oh oh oh oh oh oh oh oh said think finally clean oh oh oh oh oh oh oh oh ten months sober must admit clean mean miss ten months older give clean never gon na risk drought worst oh oh oh oh flowers grown together died thirst oh rain came pouring drowning could finally breathe morning gone trace think finally clean rain came pouring drowning could finally breathe morning gone trace think finally clean oh oh finally clean think finally clean oh oh oh oh oh oh oh oh oh think finally,0.164,0.106,0.8694,pos
long time seeing shape name still spells pain right way went looks like know yes got letter yes better cut deep know ya right bone yes got letter yes better know need closure closure treat like situation needs handled fine spite tears beers candles feel smoothing yes got letter yes bettеr cut deep know ya right bone yes got lеtter yes better know need closure closure closure closure know wrinkle new life staying friends would iron nice guilty guilty reaching across sea put fake oh unnecessary yes got letter yes better cut deep know ya right bone yes got letter yes better know need closure closure closure,0.396,0.146,0.9887,pos
tell young girls go fun hunt slay ones actually criticize way fly soaring sky shoot sigh say looks like lord become lost novelty much drink tonight know sad think wake middle night like feel time moving person know everything eighteen nothing twenty two still want nothing new long cute crying room blame youth roll eyes affection cheeks growing tired turning red faking smiles biding time til lose attention someone else lights room ahh people love ingénue ahh much drink tonight go growing breaking wake wake middle night like feel time moving person know everything eighteen nothing twenty two still want nothing new know someday gon na meet fever dream kind radiance seventeen know way say got map say happy cry sleep oh woah ohh oh woah ohh oh oh much drink tonight wonder miss drive wake wake middle night feel time moving person know everything eighteen nothing twenty two still want still want still want nothing new,0.218,0.156,0.8186,pos
looking seems simple lying couch remember took polaroid us discovered discovered rest world black white screaming color remember thinking woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good woods looking last december last december built fall apart fall back together back together ooh necklace hanging neck night could quite forget decided decided move furniture could dance baby like stood chance two paper airplanes flying flying flying remember thinking woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good woods yet woods yet woods yet oh woods clear yet clear yet clear yet clear yet good woods remember hit brakes soon twenty stitches hospital room started crying baby sun came looking remember could take heat walked said setting free monsters turned trees sun came looking looking ooh looking woods yet woods yet woods yet woods remember clear yet clear yet clear yet clear yet good oh remember woods yet woods yet yeah yeah woods yet woods clear yet clear yet say clear yet clear yet good woods yet woods yet woods yet woods clear yet yeah clear yet yeah clear yet clear yet good clear yet good woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good remember woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet,0.408,0.033,0.9988,pos
stay late got nothing brain people say mmm mmm people say mmm mmm go many dates make stay least people say mmm mmm people say mmm mmm keep cruisin stop stop movin like got music mind sayin gon na alright players gon na play play play play play haters gon na hate hate hate hate hate baby gon na shake shake shake shake shake shake shake heartbreakers gon na break break break break break fakers gon na fake fake fake fake fake baby gon na shake shake shake shake shake shake shake never miss beat lightnin feet see mmm mmm see mmm mmm dancin dancin make moves go moves go know mmm mmm know mmm mmm keep cruisin stop stop groovin like got music mind sayin gon na alright players gon na play play play play play haters gon na hate hate hate hate hate baby gon na shake shake shake shake shake shake shake heartbreakers gon na break break break break break fakers gon na fake fake fake fake fake baby gon na shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake hey hey hey think gettin liars dirty dirty cheats world could gettin sick beat ex man brought new girlfriend like oh god gon na shake fella hella good hair come baby shake shake shake yeah oh oh oh players gon na play play play play play haters gon na hate hate hate hate hate haters gon na hate baby gon na shake shake shake shake shake shake shake ha heartbreakers gon na break break break break break mmm fakers gon na fake fake fake fake fake fake fake fake baby gon na shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake shake yeah shake shake shake shake got shake shake shake shake,0.119,0.571,-0.9996,neg
friends break friends get married strangers get born strangers get buried trends change rumors fly new skies right left matches burn pages turn stick wages earned lessons learned right left help still restaurant still sitting corner haunt cross legged dim light say sad sight swear could hear hair pin drop right felt moment stop glass shattered white cloth everybody moved stayed dust collected pinned hair expected find somewhere perspective sat stared right left left left left choice stay forever left left oh left left choice stay forever ever hear girl got frozen time went everybody else know still twenty three inside fantasy supposed hear girl lives delusion breakups happen every day lose still twenty three inside fantasy sitting front restaurant still one want cross legged dim light everything right could feel mascara run told met someone glass shattered white cloth everybody moved help still restaurant still sitting corner haunt cross legged dim light say sad sight stayed dust collected pinned hair sure got wife kids christmas unaware right cause harm mind business love died young bear witness long ever think got wrong right left left oh left left choice stay forever left left oh left left choice stay,0.083,0.162,-0.9485,neg
ooh ooh school bell rings walk home sidewalk chalk covered snow lost gloves give one wan na hang yeah sounds like fun video games pass note sleeping tents nice friend ooh nice friend ooh light pink sky roof sun sinks curfew 20 questions tell truth stressed lately yeah something gave nerve touch hand nice friend ooh nice friend ooh church bells ring carry home rice ground looks like snow call bluff call babe back yeah every day feels like home stay bed whole weekend nice friend ooh nice friend ooh nice friend ooh ooh,0.468,0.034,0.9952,pos
reminiscing day coffee alone lord took away back first glance feeling new york time back fit poems like perfect rhyme took faster green light go hey skip conversation already know left note door joke made first day darling good never looking right stood holy ground spinning like girl brand new dress big wide city blocked noise sound need first time something lose guess fell apart usual way story got dust every page sometimes wonder think see face every crowd darling good never looking right stood holy ground tonight gon na dance wan na dance dancing tonight gon na dance like room wan na dance dancing good never looking right stood holy ground tonight gon na dance wan na dance dancing tonight gon na dance like room wan na dance dancing,0.231,0.043,0.9806,pos
upon time mistakes ago sights got alone found found found guess care guess liked fell hard took step back without without without long gone next realize blame knew trouble walked shame flew places never til put oh knew trouble walked shame flew places never lying cold hard ground oh oh oh trouble trouble trouble oh oh oh trouble trouble trouble apologies never see cry pretends know reason drowning drowning drowning heard moved whispers street new notch belt ever see see see long gone met realize joke hey knew trouble walked oh shame flew places never til put oh knew trouble walked shame flew places never yeah lying cold hard ground oh oh oh yeah trouble trouble trouble oh oh oh trouble trouble trouble saddest fear comes creeping never loved anyone anything yeah knew trouble walked shame flew places never never til put oh knew trouble walked knew right shame knew right flew places never ooh lying cold hard ground oh oh oh trouble trouble trouble oh oh oh oh trouble trouble trouble knew trouble walked trouble trouble trouble knew trouble walked trouble trouble trouble,0.073,0.479,-0.9985,neg
remember broke first time saying enough like seen month said needed space come around say baby miss swear gon na change trust remember lasted day say hate break call love ooh ooh ooh ooh ooh called last night ooh ooh ooh ooh ooh time telling telling never ever ever getting back together never ever ever getting back together go talk friends talk friends talk never ever ever ever getting back together like ever really gon na miss picking fights falling screaming right would hide away find peace mind indie record much cooler mine ooh ooh ooh ooh ooh called tonight ooh ooh ooh ooh ooh time telling telling never ever ever getting back together never ever ever getting back together go talk friends talk friends talk talk never ever ever ever getting back together ooh ooh ooh ooh ooh yeah ooh ooh ooh ooh ooh ooh yeah ooh ooh ooh ooh ooh yeah oh oh oh used think forever ever used say never say never ugh calls like still love like mean exhausting know like never getting back together like ever never ever ever getting back together never ever ever ooh getting back together go talk friends talk friends talk never ever ever ever getting back together ooh ooh ooh ooh ooh ooh ooh ooh getting back together ooh ooh ooh ooh ooh oh oh getting back together yeah go talk friends talk friends talk talk never ever ever ever getting back,0.215,0.081,0.9911,pos
dinner cold chatter gets old ask tab moment insisting friends look like words sister come back whispers prove fact seemed twin dreams crook caught old familiar body ache snaps little breaks soul know time go twenty years job son boss gets spot trying stay kids keeping break hearts worse old familiar body ache snaps little breaks soul know time go sometimes giving strong thing sometimes run brave thing sometimes walking one thing find right thing sometimes giving strong thing sometimes run brave thing sometimes walking one thing find right thing fifteen years fifteen million tears begging til knees bled gave gave nothing wondered left sits throne palace bones praying greed got past frozen behind glass got old familiar body ache snaps little breaks soul know time go sometimes giving strong thing sometimes run brave thing sometimes walking one thing find right thing sometimes giving strong thing sometimes run brave thing sometimes walking one thing find right thing find right thing know soul know soul time go know know know know time go go go,0.22,0.072,0.9844,pos
feels like perfect night dress like hipsters make fun exes uh uh uh uh feels like perfect night breakfast midnight fall love strangers uh uh uh uh yeah happy free confused lonely time miserable magical oh yeah tonight night forget deadlines time oh oh know feeling 22 everything alright keep next know bet want everything alright keep dancing like 22 22 seems like one nights place crowded many cool kids uh uh uh uh taylor swift anyway ew seems like one nights ditch whole scene end dreaming instead sleeping yeah happy free confused lonely best way miserable magical oh yeah tonight night forget heartbreaks time oh oh hey know feeling 22 everything alright ooh keep next know bet want everything alright alright keep dancing like 22 oh oh oh oh oh 22 know 22 22 feels like one nights ditch whole scene feels like one nights sleeping feels like one nights look like bad news got ta got ta ooh ooh yeah hey know feeling 22 everything alright ooh keep next know bet want everything alright keep dancing like 22 whoa oh 22 dancing like 22 yeah yeah 22 yeah yeah yeah feels like one nights ditch whole scene feels like one nights sleeping feels like one nights look like bad news got ta got ta,0.403,0.096,0.9975,pos
